Code,Summary
protected void add volume property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui hist price volume feature get string ui property descriptor description ui hist price volume feature ui hist price type trading package literals hist price volume true false false item property descriptor generic value image null null,this adds a property descriptor for the volume feature
protected void add trading start time property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui symbol trading start time feature get string ui property descriptor description ui symbol trading start time feature ui symbol type trading package literals symbol trading start time true false false item property descriptor generic value image null null,this adds a property descriptor for the trading start time feature
protected void add spread property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui hist price spread feature get string ui property descriptor description ui hist price spread feature ui hist price type trading package literals hist price spread true false false item property descriptor generic value image null null,this adds a property descriptor for the spread feature
protected void add trading end time property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui symbol trading end time feature get string ui property descriptor description ui symbol trading end time feature ui symbol type trading package literals symbol trading end time true false false item property descriptor generic value image null null,this adds a property descriptor for the trading end time feature
protected void add strategy id property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui strategy strategy id feature get string ui property descriptor description ui strategy strategy id feature ui strategy type trading package literals strategy strategy id true false false item property descriptor integral value image null null,this adds a property descriptor for the strategy id feature
protected void add value property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui booking value feature get string ui property descriptor description ui booking value feature ui booking type trading package literals booking value true false false item property descriptor real value image null null,this adds a property descriptor for the value feature
protected void add start date property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui hist price start date feature get string ui property descriptor description ui hist price start date feature ui hist price type trading package literals hist price start date true false false item property descriptor generic value image null null,this adds a property descriptor for the start date feature
protected void add future style property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui symbol future style feature get string ui property descriptor description ui symbol future style feature ui symbol type trading package literals symbol future style true false false item property descriptor boolean value image null null,this adds a property descriptor for the future style feature
protected void add comment property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui strategy comment feature get string ui property descriptor description ui strategy comment feature ui strategy type trading package literals strategy comment true false false item property descriptor generic value image null null,this adds a property descriptor for the comment feature
protected void add currency property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui booking currency feature get string ui property descriptor description ui booking currency feature ui booking type trading package literals booking currency true false false item property descriptor generic value image null null,this adds a property descriptor for the currency feature
protected void add mode property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui strategy mode feature get string ui property descriptor description ui strategy mode feature ui strategy type trading package literals strategy mode true false false item property descriptor generic value image null null,this adds a property descriptor for the mode feature
protected void add initial margin property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui symbol initial margin feature get string ui property descriptor description ui symbol initial margin feature ui symbol type trading package literals symbol initial margin true false false item property descriptor real value image null null,this adds a property descriptor for the initial margin feature
protected void add end date property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui hist price end date feature get string ui property descriptor description ui hist price end date feature ui hist price type trading package literals hist price end date true false false item property descriptor generic value image null null,this adds a property descriptor for the end date feature
protected void add creation date property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui strategy creation date feature get string ui property descriptor description ui strategy creation date feature ui strategy type trading package literals strategy creation date true false false item property descriptor generic value image null null,this adds a property descriptor for the creation date feature
protected void add active property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui booking active feature get string ui property descriptor description ui booking active feature ui booking type trading package literals booking active true false false item property descriptor boolean value image null null,this adds a property descriptor for the active feature
protected void add timebase property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui hist price timebase feature get string ui property descriptor description ui hist price timebase feature ui hist price type trading package literals hist price timebase true false false item property descriptor integral value image null null,this adds a property descriptor for the timebase feature
protected void add date property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui trade date feature get string ui property descriptor description ui trade date feature ui trade type trading package literals trade date true false false item property descriptor generic value image null null,this adds a property descriptor for the date feature
protected void add identifier property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui option identifier feature get string ui property descriptor description ui option identifier feature ui option type trading package literals option identifier true false false item property descriptor integral value image null null,this adds a property descriptor for the identifier feature
protected void add value property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui trade value feature get string ui property descriptor description ui trade value feature ui trade type trading package literals trade value true false false item property descriptor generic value image null null,this adds a property descriptor for the value feature
protected void add option type property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui option option type feature get string ui property descriptor description ui option option type feature ui option type trading package literals option option type true false false item property descriptor generic value image null null,this adds a property descriptor for the option type feature
protected void add strategy property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui trade strategy feature get string ui property descriptor description ui trade strategy feature ui trade type trading package literals trade strategy true false false item property descriptor integral value image null null,this adds a property descriptor for the strategy feature
protected void add take profit property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui position take profit feature get string ui property descriptor description ui position take profit feature ui position type trading package literals position take profit true false false item property descriptor real value image null null,this adds a property descriptor for the take profit feature
protected void add int option property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui option int option feature get string ui property descriptor description ui option int option feature ui option type trading package literals option int option true false false item property descriptor integral value image null null,this adds a property descriptor for the int option feature
protected void add stop loss property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui position stop loss feature get string ui property descriptor description ui position stop loss feature ui position type trading package literals position stop loss true false false item property descriptor real value image null null,this adds a property descriptor for the stop loss feature
protected void add open property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui trade open feature get string ui property descriptor description ui trade open feature ui trade type trading package literals trade open true false false item property descriptor boolean value image null null,this adds a property descriptor for the open feature
protected void add close price property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui trade close price feature get string ui property descriptor description ui trade close price feature ui trade type trading package literals trade close price true false false item property descriptor real value image null null,this adds a property descriptor for the close price feature
protected void add double option property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui option double option feature get string ui property descriptor description ui option double option feature ui option type trading package literals option double option true false false item property descriptor real value image null null,this adds a property descriptor for the double option feature
protected void add string option property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui option string option feature get string ui property descriptor description ui option string option feature ui option type trading package literals option string option true false false item property descriptor generic value image null null,this adds a property descriptor for the string option feature
public void init iworkbench workbench istructured selection selection this workbench workbench this selection selection set window title trading editor plugin instance get string ui wizard label set default page image descriptor extended image registry instance get image descriptor trading editor plugin instance get image full wizban new trading,this just records the information
protected eobject create initial model eclass e class eclass trading package get eclassifier initial object creation page get initial object name eobject root object trading factory create e class return root object,create a new model
public composite build return this composite,builds the composite
public composite builder set number of columns int columns this layout new grid layout this layout margin height 3 this layout margin width 4 this layout num columns columns this composite set layout this layout return this,b mandatory to be called b
public combiner create combiner object objects combiner result null boolean all correct clazz true if this clazzes size objects length all correct clazz false else final iterator class iclazzes this clazzes iterator for int i 0 i objects length i final class o2 iclazzes next if objects i get class o2 all correct clazz false if all correct clazz result new combiner objects return result,creates the combiner
protected string get label string type name try return trading edit plugin instance get string ui type name type catch missing resource exception mre trading editor plugin instance log mre return type name,returns the label for the specified type name
private tree object create dummy model tree object to1 new tree double linked inbox tree object to2 new tree double linked drafts tree object to3 new tree double linked sent tree double linked p1 new tree double linked me this com p1 add child to1 p1 add child to2 p1 add child to3 tree object to4 new tree double linked inbox tree double linked p2 new tree double linked other aol com p2 add child to4 tree double linked root new tree double linked root add child p1 root add child p2 return root,we will set up a dummy model to initialize tree heararchy
private jfree chart create chart final named single high low data set dataset final jfree chart chart chart factory create candlestick chart dataset get data name time value dataset true return chart,creates a chart
public number get close int series int item final high low storage high low storage this number map data set get item if high low storage null return high low storage get number value storage value type close price else return null,returns the close value for one item in a series
public double get close value int series int item double result double na n final number close this get close series item if close null result close double value return result,returns the close value as a double primitive for an item within a
public number get high int series int item final high low storage high low storage this number map data set get item if high low storage null return high low storage get number value storage value type high price else return null,returns the high value for one item in a series
public double get high value int series int item double result double na n final number high this get high series item if high null result high double value return result,returns the high value as a double primitive for an item within a
public int get item count int series return this sortedby date data set size,returns the number of items in the specified series
public number get low int series int item final high low storage high low storage this number map data set get item if high low storage null return high low storage get number value storage value type low price else return null,returns the low value for one item in a series
public double get low value int series int item double result double na n final number low this get low series item if low null result low double value return result,returns the low value as a double primitive for an item within a
public number get open int series int item final high low storage high low storage this number map data set get item if high low storage null return high low storage get number value storage value type open price else return null,returns the open value for one item in a series
public double get open value int series int item double result double na n final number open this get open series item if open null result open double value return result,returns the open value as a double primitive for an item within a
public number get volume int series int item final high low storage high low storage this number map data set get item if high low storage null return high low storage get number value storage value type volume else return null,returns the volume value for one item in a series
public double get volume value int series int item double result double na n final number volume this get volume series item if volume null result volume double value return result,returns the volume value as a double primitive for an item within a
public number get x int series int item final high low storage high low storage this number map data set get item if high low storage null return high low storage get date value storage value type date get time else return null,returns the x value for one item in a series
public date get xdate int series int item final high low storage high low storage this number map data set get item if high low storage null return high low storage get date value storage value type date else return null,returns the x value for one item in a series as a date
public number get y int series int item return this get close series item,returns the y value for one item in a series
protected void handle activate recompute the read only state if editing domain get resource to read only map null editing domain get resource to read only map clear refresh any actions that may become enabled or disabled set selection get selection if removed resources is empty if handle dirty conflict get site get page close editor trading editor this false else removed resources clear changed resources clear saved resources clear else if changed resources is empty changed resources remove all saved resources handle changed resources changed resources clear saved resources clear,handles activation of the editor or its associated views
public boolean get trim whitespace return this user settings trim whitespace,gets whether leading and trailing whitespace characters are being trimmed
public void set trim whitespace boolean trim whitespace this user settings trim whitespace trim whitespace,sets whether leading and trailing whitespace characters should be trimmed
public char get delimiter return this user settings delimiter,gets the character being used as the column delimiter
public void set delimiter char delimiter this user settings delimiter delimiter,sets the character to use as the column delimiter
public void set record delimiter char record delimiter this use custom record delimiter true this user settings record delimiter record delimiter,sets the character to use as the record delimiter
public adapter create hist price adapter return null,creates a new adapter for an object of class
public adapter create symbol adapter return null,creates a new adapter for an object of class
public adapter create trade adapter return null,creates a new adapter for an object of class
public adapter create exit criteria adapter return null,creates a new adapter for an object of class
public adapter create booking adapter return null,creates a new adapter for an object of class
public char get text qualifier return this user settings text qualifier,gets the character to use as a text qualifier in the data
public void set use text qualifier boolean use text qualifier this user settings use text qualifier use text qualifier,sets whether text qualifiers will be used while parsing or not
public char get comment return this user settings comment,gets the character being used as a comment signal
public void set comment char comment this user settings comment comment,sets the character to use as a comment signal
public boolean get use comments return this user settings use comments,gets whether comments are being looked for while parsing or not
public diagnostic analyze resource problems resource resource exception exception if resource get errors is empty resource get warnings is empty basic diagnostic basic diagnostic new basic diagnostic diagnostic error strategy tester editor 0 get string ui create model error message resource get uri new object exception null object resource exception basic diagnostic merge ecore util compute diagnostic resource true return basic diagnostic else if exception null return new basic diagnostic diagnostic error strategy tester editor 0 get string ui create model error message resource get uri new object exception else return diagnostic ok instance,returns a diagnostic describing the errors and warnings listed in the resource
public boolean get safety switch return this user settings safety switch,safety caution to prevent the parser from using large amounts of memory
public void set safety switch boolean safety switch this user settings safety switch safety switch,safety caution to prevent the parser from using large amounts of memory
public int get column count return this columns count,gets the count of columns found in this record
public long get current record return this current record 1,gets the index of the current record
public int get header count return this headers holder length,gets the count of headers read in by a previous call to
public string get int column index throws ioexception this check closed if column index 1 column index this columns count return this values column index else return null,returns the current column value for a given column index
public string get string header name throws ioexception this check closed return this get this get index header name,returns the current column value for a given column header name
public boolean read headers throws ioexception final boolean result this read record copy the header data from the column array to the header string array this headers holder length this columns count this headers holder headers new string this columns count for int i 0 i this headers holder length i final string column value this get i this headers holder headers i column value if there are duplicate header names we will save the last one this headers holder index by name put column value new integer i if result this current record this columns count 0 return result,read the first record of data as column headers
public string get header int column index throws ioexception this check closed check to see if we have read the header record yet check to see if the column index is within the bounds of our header array if column index 1 column index this headers holder length return the processed header data for this column return this headers holder headers column index else return,returns the column header value for a given column index
public int get index string header name throws ioexception this check closed final object index value this headers holder index by name get header name if index value null return integer index value int value else return 1,gets the corresponding column index for a given column header name
public boolean skip record throws ioexception this check closed boolean record read false if this has more data record read this read record if record read this current record return record read,skips the next record of data by parsing each column
public void close if this closed this close true this closed true,closes and releases all related resources
public iproperty sheet page get property sheet page if property sheet page null property sheet page new extended property sheet page editing domain override public void set selection to viewer list selection trading editor this set selection to viewer selection trading editor this set focus override public void set action bars iaction bars action bars super set action bars action bars get action bar contributor share global actions this action bars property sheet page set property source provider new adapter factory content provider adapter factory return property sheet page,this accesses a cached version of the property sheet
public void set if handles is empty return enumeration en handles elements context map position points new context map position handles size for int i 0 en has more elements i points i default handle en next element get position triple layout set line points,sets the current positions
public void set if handles is empty return enumeration en handles elements context map position points new context map position handles size for int i 0 en has more elements i points i default handle en next element get position statement layout set box line points,sets the current positions
public void add handles collection handles iterator it handles iterator while it has next handle handle handle it next if handles check add handle this handles add handle,takes care of handles without parents
public boolean update edit event e return true,this function is called to give the handled object the opportunity to
protected void end drag map event m sel new vector iterator it handles iterator while it has next handle ha handle it next if ha is selected sel add ha undraws the marking rectangle xor if g null g set color color black g set xormode color white affine transform transform displayer get transform rectangle trans transform create transformed shape pr get bounds g draw rect trans x trans y trans width trans height g set paint mode g null remove all handles component repaint,collects the convenience set of selected handles for later use
public void detach handles null handles check null,always call detach on an handled object before you throw it away
public void paint graphics2 d g graphics2 d original super paint g original if this g null original set color color black original set xormode color white affine transform transform displayer get transform rectangle trans transform create transformed shape pr get bounds original draw rect fix x trans x fix y trans y trans width trans height original set paint mode,paints either the marking rectangle or the map size mark
protected void install map scroll pane pane layer component layer if layer has fixed level pane get layered pane add layer layer get fixed level for layer else pane get layered pane add layer new integer map scroll pane edit layer int value layers size layers search layer layer activate pane,installs a layer in the layeredpane and activates it the layer have to
protected void deinstall map scroll pane pane layer component layer int ind pane get layered pane get index of layer if ind 1 pane get layered pane remove ind layer deactivate pane,reverses the install function
private void fix local copy fix local copy string data get specify container info container uri fix local copy string data get specify container pres container uri,makes sure that the local directory is created
public void value changed list selection event e if e get value is adjusting return context map context map jlist e get source get selected value refresh details,captures when a contextmap has been selected in the list
public void action performed action event e container container jcombo box e get source get selected item refresh explorer refresh details,captures when the container is changed
private void init tree add tree selection listener this add tree will expand listener this add mouse listener this add key listener this tool tip manager shared instance register component this set autoscrolls true set row height images get image icon images icon session open get icon height 2 set custom icons,initializes tree settings and adds listeners
public void refresh session node get model get root remove all children add sessions to root,removes all sessions from the root node and adds them from new
public void show dialog new thread new runnable public void run init session list set visible true object item session combo box get selected item if item instanceof session update map list session session combo box get selected item start,shows the dialog and returns immediately
private void add sessions to root session node root session node get model get root list sessions get session list true for iterator it sessions iterator it has next session node node new session node it next session node type session root add node default tree model get model reload,adds sessions as nodes with the root node as parent
public void action performed action event e if session manager get sessions size 0 joption pane show message dialog null please create a session first no sessions found joption pane error message return dialog new session browser session manager dialog add property change listener session browsing tool this dialog show dialog,shows the dialog to browse through the sessions
public void property change property change event e if e get new value null set maps set e get new value if e get property name equals session browser button open if maps iterator has next open map context map maps iterator next get uri false else if e get property name equals session browser button open new view for iterator it maps iterator it has next open map context map it next get uri true dialog remove property change listener this dialog dispose,reacts on button clicks from within the dialog
private void open map string uri string boolean new view if uri string null uri uri uri create uri string try if new view conzilla kit get default kit get conzilla open map in new view uri controller else conzilla kit get default kit get conzilla open map in old view uri controller get view catch controller exception e error message show error unable to open map conzilla was not able to open the context map e null,opens a context map
private void set custom icons default tree cell renderer renderer new session tree cell renderer set cell renderer renderer,changes the icons of the tree
private void init session list list session sessions get session list if sessions size 0 session combo box set enabled false combo box model model new default combo box model sessions to array session combo box set model model,initializes the combo box for choosing sessions with a model containing a
private void update map list session session set cursor cursor get predefined cursor cursor wait cursor if session null return list maps get maps of session session default list model model new default list model for iterator it maps iterator it has next model add element it next map list set model model set cursor cursor get default cursor,updates the list of context maps according to the specified session
private void open map final string uri string final boolean new view if uri string null boolean threaded configuration manager get configuration get boolean settings conzilla maps threaded false if threaded thread thread new thread new runnable public void run open map unthreaded uri string new view thread start else open map unthreaded uri string new view,opens a context map
public void tree will expand tree expansion event e throws expand veto exception session node node session node e get path get last path component if node get user object instanceof session if set children of session node node throw new expand veto exception e unable to expand the node containers or maps could not be loaded,adds maps to a session node before it collapses
public void value changed tree selection event evt selected tree path evt get new lead selection path if selected tree path null selected node null return selected node session node selected tree path get last path component,sets the selected node value if the the selected value in the tree
private void toggle details if details button is selected main panel add details pane border layout page end else main panel remove details pane dialog pack,switches the detailed view on and off
private void cancel if details button is selected details button set selected true toggle details print information n publishing cancelled please check for errors above aborted true close button set enabled true,called when something goes wrong and the activity is cancelled
private void done if aborted close on finished is selected dialog dispose owner dispose else progress bar set value 100 close button set enabled true,completes the process and closes the dialog depending on the setting
private void load locations list location information loc list collab config get locations locations model new default combo box model new vector location information loc list destination combo box set model locations model,loads available locations from the configuration
public void set percentage int percentage if progress bar is indeterminate percentage 0 progress bar set indeterminate false progress bar set value percentage,sets the percentage of the progress bar
public void set visible final boolean visible this blocks on a jdialog so we run it in a thread new thread new runnable public void run dialog set visible visible start,sets the visibility of the dialog
public void dispose dialog dispose,disposes the dialog
private void publish this session context map get component manager get editing sesssion final progress information info new progress information publish map dialog this publishing progress info set visible true new thread new runnable public void run context map publisher publisher new context map publisher controller context map get location information get map meta data get contribution meta data publisher add property change listener info publisher publish publisher remove property change listener info start,starts the publishing process
public boolean show dialog set visible true return closed with ok,shows the dialog
public location information get location information return new location information title field get text desc field get text publishing location field get text public location field get text,used to read information out of the dialog
public void key released key event e bookmark node node tree get selected node if node null return switch e get key code case key event vk enter open map bookmark information node get user object get uri controller break case key event vk delete delete node node break,deals with the most common key events
private void load model file model file buffered input stream bis null xmldecoder input null try log debug loading data from model file bis new buffered input stream new file input stream model file buffer size try input new xmldecoder bis model bookmark tree model input read object catch exception e log error error when loading old model e log info will create new model create model catch ioexception ioe throw new info message exception unable to load cache index ioe finally if input null input close,loads the tree model from an xml file
private void create model bookmark information root new bookmark information root bookmarks bookmark information type folder model new default tree model new bookmark node root model new bookmark tree model,creates the tree model
private tool get manage bookmarks final tools menu tm final map controller mc final bookmark tree tree tool t new tool manage bookmarks null public void action performed action event ae final view active view mc get view if visible views contains key active view active view remove from left jscroll pane visible views get active view visible views remove active view jscroll pane scrollpane new jscroll pane tree mc get view add to left scrollpane bookmarks new action listener public void action performed action event e visible views remove active view visible views put active view scrollpane return t,creates and returns the manage bookmarks tool
public boolean show dialog if show tree label create set visible true separator set visible true tree new bookmark tree conzilla kit get default kit get bookmark store get tree model controller scroll pane set viewport view tree scroll pane set visible true pack set location relative to conzilla kit get default kit get conzilla get view manager get window set visible true return closed with ok,shows the dialog
protected void add entry bookmark node node bookmark information new info bookmark node parent node bookmark node node get parent bookmark node new node new bookmark node new info if node get allows children node add new node else if parent node null int pos parent node get index node parent node insert new node pos default tree model tree get model reload new node get parent tree expand path new tree path bookmark node new node get parent get path,creates a new node as sibling or child of an already existing node
private void show menu point pt tree path path tree get path for location pt x pt y if path null path new tree path bookmark node tree get model get root get path else tree set selection path path create menu path show tree pt x pt y,shows a popup menu at the current mouse position
private void set custom icons default tree cell renderer renderer new default tree cell renderer renderer set open icon images get image icon images icon bookmark folder open renderer set closed icon images get image icon images icon bookmark folder closed renderer set leaf icon images get image icon images icon bookmark set cell renderer renderer,changes the icons of the tree
public string get tool tip text mouse event evt if get row for location evt get x evt get y 1 return null tree path cur path get path for location evt get x evt get y return bookmark node cur path get last path component get tool tip text,we show our own tooltips
private void edit location button action performed action event evt int index locations list get selected index if index 1 location information info location information locations list get selected value publishing location dialog dialog new publishing location dialog this info if dialog show dialog location information new info dialog get location information locations model set element at new info index,shows a dialog to edit an already existing location entry
private void remove location button action performed action event evt int index locations list get selected index if index 1 locations model remove index if index locations model get size index locations list set selected index index locations list ensure index is visible index,removes the currently selected entry from the list
private boolean is valid drop target tree path destination tree path dropper if dropper null dropper get parent path null return false if dropper get parent path equals destination return false if destination null return false if destination equals dropper return false if dropper is descendant destination return false return true,determines whether the drop target dropped element combination is
private void ok button action performed action event evt string message setting status if message null set visible false store settings dispose else joption pane show message dialog this message incomplete configuration joption pane error message,stores the settings and disposes the window
private void store settings collaborilla configuration collab config new collaborilla configuration configuration manager get configuration collab config set collaborilla service root service field get text collab config set proxy server proxy server field get text collab config set proxy port proxy port field get text collab config store locations locations model collab config set user namespace namespace field get text save agent information,stores the settings to the configuration
public int filter rgb int x int y int rgb if rgb 0xff000000 0 return color return rgb,if pixel is transparent return the fixed color otherwise return the
public void add tab wizard component wc wizard components add wc,should be called before
public void paint border component c graphics g int x int y int width int height translate once x y width height color old color g get color g set color color graphics2 d g fill polygon g set color old color,paints the matte border
public boolean is border opaque if a tile icon is set then it may contain transparent bits return true,returns whether or not the border is opaque
protected void activate old description impl description panel desc,override to add behaviour such as move description to front etc
protected void in activate old description impl description panel desc,override to add behaviour such as move description to back etc
protected void un register keyboard actions jcomponent comp if registered key board actions comp null return the way to do it after java 1 3 input map i map old comp get input map jcomponent when focused action map a map old comp get action map if i map old null comp set input map jcomponent when focused i map old get parent if a map old null comp set action map a map old get parent registered key board actions false,a helpfull function for unregistering the listeners with a jcomponent
public void remove all popups remove description enumeration en descriptions elements for en has more elements remove description impl description panel en next element descriptions new hashtable refresh,removes all popups
protected void update description object o timer stop will be next trigger o will be next component get component from trigger o object o1 get description lookup object original trigger object o2 get description lookup object o if current active description is not locked if description null o1 null descriptions get o1 null remove description if is popup trigger o return if o1 o2 description null if activate old description o return timer restart,removes changes activates descriptions and restarts the timer
private boolean activate old description object o tracer debug activate old description if description null in activate old description impl description description null original trigger null object look get description lookup object o if look null description description panel descriptions get look if description null original trigger o activate old description impl description return true return false,activates the description currently in focus if any
protected void show new description if description null will be next component null descriptions contains get description lookup object will be next trigger return description panel new description new description panel will be next component get scale pt2qt if new description get visible return description new description show new description impl new description adjust position new description will be next trigger original trigger will be next trigger refresh,the timer calls this function when the description should popup
protected void lock description if description null object o get description lookup object original trigger if o null descriptions put o description,locks a description so it stays when you go on to next component
public void remove description timer stop if description null remove description impl description refresh object o get description lookup object original trigger if o null descriptions remove o description null,removes the current description locked or not
public void remove from right component comp right panel remove tab comp,removes the given component from the right panel
protected void init default root pane container,by overriding it empty we make sure that there is
public void remove from left component comp left panel remove tab comp,removes the given component from the left panel
public void fix left divider location int left divider location 0 if view get left panel null view get left panel is empty component left comp left splitter get left component dimension dim left comp null left comp get preferred size null if dim null dim width 0 left divider location dim width 5 if left divider location 200 left divider location 200 left divider location configuration manager get configuration get int settings conzilla splitpane left width left divider location left splitter set divider location left divider location left splitter revalidate,calculates and sets the location for the left divider
public void add tool final exclusive state tool tool if get active tool null tool set activated false tool add property change listener this tools add element tool,adds a tool to this tool set
public void remove tool exclusive state tool tool tool remove property change listener this tools remove element tool,removes a tool from this tool set
public void remove all tools for int i 0 i tools size i exclusive state tool tool exclusive state tool tools element at i tool remove property change listener this tools remove all elements,removes all tools from this tool set
public exclusive state tool get active tool for int i 0 i tools size i exclusive state tool tool exclusive state tool tools element at i if tool is activated return tool return null,returns the currently active exclusive tool
public string get text return string get value name,returns the name of the tool
public abstract button get tool button tool tool return abstract button tool items get tool,returns the menu item for a given tool
public enumeration get tools return tool items keys,fetch all tools in this menu
public jmenu item add tool final tool tool int prio tools2 prio put tool new integer prio add tool impl tool prio return null,adds a tool to the menu
